CCAA,Provincia,Tipo,Universidad,Modalidad,Centro,Título,Idioma extranjero,Nota
Andalucía,Málaga,Pública,Universidad de Málaga,Presencial,Facultad de Ciencias Económicas y Empresariales,Doble Grado en Economía / Grado en Administración y Dirección de Empresas,No,"11,24"
Comunidad de Madrid,Madrid,Pública,Universidad Carlos III de Madrid,Presencial,Facultad de Ciencias Sociales y Jurídicas. Sección Colmenarejo,Grado en Derecho,No,"11,24"
Galicia,A Coruña,Pública,Universidad de A Coruña,Presencial,Escuela Universitaria de Enfermería A Coruña,Grado en Enfermería,No,"11,24"
Navarra,Navarra,Pública,Universidad Pública de Navarra,Presencial,"Facultad de Ciencias Humanas, Sociales y de la Educación",Doble Grado en Maestro en Educación Infantil / Grado en Maestro en Educación Primaria,Sí,"11,23"
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Escuela Superior de Ciencias Experimentales y Tecnología. Campus de Móstoles,Doble Grado en Ingeniería Química / Grado en Ingeniería en Organización Industrial,No,"11,23"
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Escuela Superior de Ciencias Experimentales y Tecnología. Campus de Móstoles,Grado en Ingeniería Mecánica,No,"11,23"
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Escuela Superior de Ciencias Experimentales y Tecnología. Campus de Móstoles,Grado en Ingeniería en Organización Industrial,No,"11,23"
Comunidad de Madrid,Madrid,Pública,Universidad Complutense de Madrid,Presencial,Facultad de Ciencias Políticas y Sociología,Doble Grado en Sociología / Grado en Relaciones Internacionales,No,"11,22"
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Facultad de Ciencias de la Salud. Campus de Alcorcón,Grado en Fisioterapia,No,"11,21"
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Escuela Superior de Ciencias Experimentales y Tecnología. Campus de Móstoles,Doble Grado en Ingeniería de la Energía / Grado en Ingeniería en Organización Industrial,No,"11,21"
Comunidad de Madrid,Madrid,Pública,Universidad Autónoma de Madrid,Presencial,Escuela Politécnica Superior,Grado en Ciencia e Ingeniería de Datos,No,"11,2"
Castilla y León,Burgos,Pública,Universidad de Burgos,Presencial,Facultad de Ciencias de la Salud,Grado en Enfermería,No,"11,2"
Castilla y León,Valladolid,Pública,Universidad de Valladolid,Presencial,Facultad de Ciencias,Grado en Física,No,"11,2"
Andalucía,Cádiz,Pública,Universidad de Cádiz,Presencial,Facultad de Ciencias,Doble Grado en Ingeniería química/ Grado en Biotecnología,No,"11,2"
Aragón,Zaragoza,Pública,Universidad de Zaragoza,Presencial,Facultad de Ciencias de la Salud,Grado en Fisioterapia,No,"11,19"
Cataluña,Girona,Pública,Universidad de Girona,Presencial,Facultad de Ciencias,Doble Grado en Biología / Grado en Biotecnología (Plan Nuevo),No,"11,19"
Cataluña,Barcelona,Pública,Universidad de Barcelona,Presencial,Facultad de Economía y Empresa,Doble Grado en Administración y Dirección de Empresas / Grado en Derecho,No,"11,19"
Castilla-La Mancha,Toledo,Pública,Universidad de Castilla-La Mancha,Presencial,Facultad de Fisioterapia y Enfermería,Grado en Enfermería,No,"11,19"
Aragón,Teruel,Pública,Universidad de Zaragoza,Presencial,Escuela Universitaria de Enfermería Hospital General Obispo Polanco,Grado en Enfermería,No,"11,19"
Galicia,A Coruña,Pública,Universidad de Santiago de Compostela,Presencial,Escuela Técnica Superior de Ingeniería,Grado en Inteligencia Artificial,No,"11,18"
Andalucía,Granada,Pública,Universidad de Granada,Presencial,Facultad de Ciencias Económicas y Empresariales,Doble Grado en Administración y Dirección de Empresas / Grado en Derecho,No,"11,18"
Galicia,A Coruña,Pública,Universidad de A Coruña,Presencial,Escuela Politécnica de Ingeniería de Ferrol,Doble Grado en Ingeniería Mecánica / Grado en Ingeniería Naval y Oceánica,No,"11,18"
Comunitat Valenciana,Alicante,Pública,Universidad de Alicante,Presencial,Facultad de Educación,Grado en Ciencias de la Actividad Física y del Deporte,Sí,"11,17"
Comunitat Valenciana,Valencia,Pública,Universidad Politécnica de Valencia,Presencial,Escuela Técnica Superior de Ingeniería Industrial,Grado en Ingeniería de la Energía,No,"11,16"
Comunitat Valenciana,Valencia,Pública,Universitat de València (Estudi General),Presencial,"Facultad de Filología, Traducción y Comunicación",Grado en Filología Clásica,No,"11,16"
Cataluña,Barcelona,Pública,Universidad de Barcelona,Presencial,Facultad de Economía y Empresa,Doble Grado en Economía / Grado en Estadística,No,"11,16"
Comunidad de Madrid,Madrid,Pública,Universidad Complutense de Madrid,Presencial,Facultad de Ciencias Químicas,Grado en Ingeniería Química,No,"11,15"
País Vasco,Vizcaya,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,Escuela de Ingeniería de Bilbao,Grado en Ingeniería en Organización Industrial,No,"11,15"
Galicia,A Coruña,Pública,Universidad de A Coruña,Presencial,Facultad de Ciencias de la Comunicación,Grado en Creación Digital. Animación y Videojuegos,No,"11,15"
País Vasco,Vizcaya,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,Facultad de Ciencia y Tecnología,Grado en Ingeniería Electrónica,No,"11,13"
Cataluña,Lleida,Pública,Universidad de Lleida,Presencial,Escuela Técnica Superior de Ingeniería Agroalimentaria y Forestal y de Veterinaria,Doble Grado en Ciencia y Producción Animal / Grado en Veterinaria,No,"11,13"
Asturias,Asturias,Pública,Universidad de Oviedo,Presencial,Facultad de Formación del Profesorado y Educación,Grado en Ciencias de la Actividad Física y del Deporte,No,"11,13"
País Vasco,Álava,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,Facultad de Educación y Deporte,Grado en Ciencias de la Actividad Física y del Deporte,No,"11,13"
Cataluña,Barcelona,Pública,Universidad Autónoma de Barcelona,Presencial,Facultad de Ciencias de la Comunicación,Grado en Publicidad y Relaciones Públicas,No,"11,13"
Galicia,Pontevedra,Pública,Universidad de Vigo,Presencial,Escuela Universitaria de Enfermería Meixoeiro,Grado en Enfermería,No,"11,12"
Andalucía,Sevilla,Pública,Universidad Pablo de Olavide,Presencial,Facultad de Derecho,Doble Grado en Derecho / Grado en Criminología,No,"11,11"
Comunitat Valenciana,Valencia,Pública,Universitat de València (Estudi General),Presencial,Escuela Técnica Superior de Ingeniería,Grado en Ciencia de Datos,No,"11,11"
Cantabria,Cantabria,Pública,Universidad de Cantabria,Presencial,Facultad de Derecho,Doble Grado en Derecho / Grado en Administración y Dirección de Empresas,No,"11,11"
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Escuela Superior de Ciencias Experimentales y Tecnología. Campus de Madrid,Grado en Ingeniería en Organización Industrial,No,"11,11"
Región de Murcia,Murcia,Pública,Universidad de Murcia,Presencial,Facultad de Educación,Doble Grado en Educación Primaria/ Grado en Ciencias de la actividad física y del deporte,No,"11,11"
Andalucía,Huelva,Pública,Universidad de Huelva,Presencial,"Facultad de Educación, Psicología y Ciencias del Deporte",Grado en Ciencias de la Actividad Física y del Deporte,No,"11,11"
Comunitat Valenciana,Alicante,Pública,Universidad de Alicante,Presencial,Facultad de Ciencias,Grado en Química,No,"11,1"
Andalucía,Málaga,Pública,Universidad de Málaga,Presencial,Escuela de Ingenierías Industriales,Grado en Ingeniería Electrónica. Robótica y Mecatrónica,No,"11,09"
Andalucía,Granada,Pública,Universidad de Granada,Presencial,Facultad de Derecho,Grado en Criminología,No,"11,09"
Galicia,Pontevedra,Pública,Universidad de Vigo,Presencial,Escuela de Ingeniería Industrial,Doble Grado en Ingeniería Biomédica / Grado en Ingeniería en Electrónica Industrial y Automática,No,"11,08"
Andalucía,Almería,Pública,Universidad de Almería,Presencial,Facultad de Ciencias de la Educación,Grado en Ciencias de la Actividad Física y del Deporte,No,"11,08"
Andalucía,Granada,Pública,Universidad de Granada,Presencial,Facultad de Farmacia,Grado en Farmacia,No,"11,08"
Cataluña,Barcelona,Pública,Universidad de Barcelona,Presencial,Facultad de Derecho,Doble Grado en Criminología / Grado en Derecho,No,"11,08"
Comunitat Valenciana,Valencia,Pública,Universitat de València (Estudi General),Presencial,Facultad de Química,Grado en Química,No,"11,08"
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Facultad de Ciencias de la Educación y del Deporte y Estudios Interdisciplinares. Campus de Alcorcón,Grado en Ciencias de la Actividad Física y del Deporte,No,"11,07"
Galicia,A Coruña,Pública,Universidad de A Coruña,Presencial,Facultad de Fisioterapia,Grado en Fisioterapia,No,"11,07"
Comunidad de Madrid,Madrid,Pública,Universidad Politécnica de Madrid,Presencial,Escuela Técnica Superior de Ingenieros de Minas y Energía,Grado en Ingeniería de la Energía,No,"11,07"
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Facultad de Ciencias Jurídicas y Políticas. Campus de Madrid,Grado en Criminología,No,"11,07"
Cataluña,Barcelona,Pública,Universidad Pompeu Fabra,Presencial,Facultad de Derecho,Grado en Derecho,No,"11,06"
Andalucía,Málaga,Pública,Universidad de Málaga,Presencial,Facultad de Psicología y Logopedia,Grado en Psicología,No,"11,06"
Comunidad de Madrid,Madrid,Pública,Universidad Politécnica de Madrid,Presencial,Escuela Técnica Superior de Ingeniería y Diseño Industrial,Grado en Ingeniería Química,No,"11,05"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Centro Universitario de Osuna,Doble Grado en Fisioterapia / Grado en Ciencias de la Actividad Física y del Deporte,No,"11,05"
Castilla y León,Palencia,Pública,Universidad de Valladolid,Presencial,Escuela Universitaria de Enfermería Dr. Dacio Crespo,Grado en Enfermería,No,"11,04"
País Vasco,Vizcaya,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,Facultad de Derecho. Sección Bizkaia,Grado en Derecho,No,"11,03"
Comunitat Valenciana,Valencia,Pública,Universitat de València (Estudi General),Presencial,"Facultad de Filología, Traducción y Comunicación",Grado en Comunicación Audiovisual,No,"11,03"
Castilla y León,Soria,Pública,Universidad de Valladolid,Presencial,Facultad de Ciencias de la Salud de Soria,Grado en Enfermería,No,"11,03"
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Facultad de Farmacia,Doble Grado en Farmacia / Grado en Gestión de Pequeñas y Medianas Empresas (PYMES),No,"11,03"
Galicia,A Coruña,Pública,Universidad de Santiago de Compostela,Presencial,Facultad de Psicología,Grado en Psicología,No,"11,02"
Galicia,A Coruña,Pública,Universidad de A Coruña,Presencial,Facultad de Informática,Grado en Inteligencia Artificial,No,"11,02"
Cataluña,Barcelona,Pública,Universidad Autónoma de Barcelona,Presencial,Facultad de Biociencias,Grado en Microbiología,No,"11,02"
Andalucía,Córdoba,Pública,Universidad de Córdoba,Presencial,Facultad de Ciencias,Grado en Física,No,"11,02"
Galicia,A Coruña,Pública,Universidad de A Coruña,Presencial,Facultad de Derecho,Doble Grado en Administración y Dirección de Empresas / Grado en Derecho,No,"11,01"
Canarias,Las Palmas,Pública,Universidad de Las Palmas de Gran Canaria,Presencial,Facultad de Ciencias de la Salud. Sección Fuerteventura,Grado en Enfermería,No,"11,01"
Cataluña,Barcelona,Pública,Universidad de Barcelona,Presencial,Facultad de Biología,Grado en Biología,No,"11,01"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Escuela Politécnica Superior,Grado en Ingeniería Mecánica,No,"11,01"
Comunidad de Madrid,Madrid,Pública,Universidad de Alcalá,Presencial,"Facultad de Ciencias Económicas, Empresariales y Turismo",Doble Grado en Derecho / Grado en Administración y Dirección de Empresas,No,"11,01"
Asturias,Asturias,Pública,Universidad de Oviedo,Presencial,Facultad de Derecho,Doble Grado en Derecho/Grado en Criminología,No,"11,01"
Comunitat Valenciana,Valencia,Pública,Universidad Politécnica de Valencia,Presencial,Escuela Politécnica Superior de Gandía,Doble Grado en Comunicación Audiovisual / Grado en Ingeniería de Sistemas de Telecomunicación. Sonido e Imagen,No,"11,01"
Cataluña,Barcelona,Pública,Universidad de Barcelona,Presencial,Facultad de Derecho,Doble Grado en Derecho / Grado en Ciencias Políticas y de la Administración,No,"11,01"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Facultad de Ciencias Económicas y Empresariales,Grado en Marketing e Investigación de Mercados,No,"11,01"
Comunidad de Madrid,Madrid,Pública,Universidad Autónoma de Madrid,Presencial,Facultad de Formación de Profesorado y Educación,Grado en Ciencias de la Actividad Física y del Deporte,No,11
Andalucía,Córdoba,Pública,Universidad de Córdoba,Presencial,Facultad de Filosofía y Letras,Doble Grado en Estudios Ingleses / Grado en Educación Primaria,No,11
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Varias modalidades,Escuela Técnica Superior de Ingeniería Informática. Campus de Madrid,Doble Grado en Ingeniería Informática / Grado en Administración y Dirección de Empresas,No,"10,99"
Canarias,Las Palmas,Pública,Universidad de Las Palmas de Gran Canaria,Presencial,Facultad de Ciencias de la Salud,Grado en Fisioterapia,No,"10,99"
Andalucía,Málaga,Pública,Universidad de Málaga,Presencial,Facultad de Filosofía y Letras,Doble Grado en Educación Primaria / Grado en Estudios Ingleses,No,"10,98"
Comunidad de Madrid,Madrid,Pública,Universidad Carlos III de Madrid,Presencial,Escuela Politécnica Superior,Grado en Ingeniería Informática / Bachelor in Computer Science and Engineering,No,"10,98"
Canarias,Santa Cruz,Pública,Universidad de La Laguna,Presencial,Facultad de Ciencias,Grado en Matemáticas,No,"10,98"
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Escuela de Ingeniería de Fuenlabrada,Doble Grado en Ingeniería en Sistemas de Telecomunicación / Grado en Administración y Dirección de Empresas,No,"10,98"
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Facultad de Ciencias Jurídicas y Políticas. Campus de Aranjuez,Grado en Relaciones Internacionales,No,"10,97"
Comunidad de Madrid,Madrid,Pública,Universidad Autónoma de Madrid,Presencial,Escuela de Enfermería de la Cruz Roja,Grado en Enfermería,No,"10,96"
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Escuela Superior de Ciencias Experimentales y Tecnología. Campus de Móstoles,Grado en Ingeniería de Tecnologías Industriales,No,"10,96"
Cataluña,Barcelona,Pública,Universidad Politécnica de Catalunya,Presencial,"Escuela Superior de Ingenierías Industrial, Aeroespacial y Audiovisual de Terrassa",Grado en Ingeniería de Diseño Industrial y Desarrollo del Producto,No,"10,96"
Castilla-La Mancha,Toledo,Pública,Universidad de Castilla-La Mancha,Presencial,Facultad de Ciencias de la Salud,Doble Grado en Enfermería / Grado en Podología,No,"10,96"
Región de Murcia,Murcia,Pública,Universidad de Murcia,Presencial,Facultad de Química,Grado en Física,Sí,"10,96"
Cataluña,Barcelona,Pública,Universidad de Barcelona,Presencial,Facultad de Información y Medios Audiovisuales,Grado en Comunicación Audiovisual,No,"10,96"
Cataluña,Barcelona,Pública,Universidad de Barcelona,Presencial,Facultad de Farmacia y Ciencias de la Alimentación,Grado en Farmacia,No,"10,96"
Región de Murcia,Murcia,Pública,Universidad de Murcia,Presencial,Facultad de Educación,Grado en Educación Primaria,Sí,"10,95"
Comunidad de Madrid,Madrid,Pública,Universidad Carlos III de Madrid,Presencial,"Facultad de Humanidades, Comunicación y Documentación",Grado en Comunicación Audiovisual/Bachelor in Film. Television and Media Studies,Sí,"10,95"
Comunitat Valenciana,Valencia,Pública,Universidad Politécnica de Valencia,Presencial,Escuela Técnica Superior de Ingeniería de Telecomunicación,Doble Grado en Administración y Dirección de Empresas / Grado en Ingeniería de Tecnologías y Servicios de Telecomunicación,No,"10,95"
Comunitat Valenciana,Alicante,Pública,Universidad de Alicante,Presencial,Escuela Politécnica Superior,Grado en Ingeniería Robótica,No,"10,95"
Comunidad de Madrid,Madrid,Pública,Universidad Complutense de Madrid,Presencial,Facultad de Derecho,Doble Grado en Derecho / Grado en Administración y Dirección de Empresas,No,"10,95"
Castilla y León,Ávila,Pública,Universidad de Salamanca,Presencial,Escuela Universitaria de Enfermería de Ávila,Grado en Enfermería,No,"10,95"
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Escuela Superior de Ciencias Experimentales y Tecnología. Campus de Móstoles,Doble Grado en Ingeniería Química / Grado en Ingeniería en Energía,No,"10,95"
Castilla-La Mancha,Toledo,Pública,Universidad de Castilla-La Mancha,Presencial,Facultad de Ciencias de la Salud,Grado en Enfermería,No,"10,95"
Extremadura,Badajoz,Pública,Universidad de Extremadura,Presencial,Facultad de Ciencias,Grado en Física,No,"10,95"
Canarias,Las Palmas,Pública,Universidad de Las Palmas de Gran Canaria,Presencial,Facultad de Ciencias de la Salud. Sección Lanzarote,Grado en Enfermería,No,"10,95"
Cataluña,Lleida,Pública,Universidad de Lleida,Presencial,Escuela Politécnica Superior,Doble Grado en Ingeniería de la Energía y Sostenibilidad / Grado en Ingeniería Mecánica,No,"10,94"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Facultad de Ciencias Económicas y Empresariales,Doble Grado en Administración y Dirección de Empresa / Grado en Derecho,No,"10,94"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Facultad de Ciencias de la Educación,Grado en Educación Infantil,No,"10,94"
Castilla-La Mancha,Cuenca,Pública,Universidad de Castilla-La Mancha,Presencial,Facultad de Enfermería de Cuenca,Grado en Enfermería,No,"10,93"
Extremadura,Cáceres,Pública,Universidad de Extremadura,Presencial,Centro Universitario de Plasencia,Grado en Enfermería,No,"10,93"
Aragón,Zaragoza,Pública,Universidad de Zaragoza,Presencial,Escuela de Ingeniería y Arquitectura,Grado en Ingeniería Biomédica,No,"10,93"
Castilla y León,Zamora,Pública,Universidad de Salamanca,Presencial,Escuela Universitaria de Enfermería SACYL,Grado en Enfermería,No,"10,93"
Galicia,A Coruña,Pública,Universidad de A Coruña,Presencial,Facultad de Enfermería y Podología,Grado en Enfermería,No,"10,93"
Comunidad de Madrid,Madrid,Pública,Universidad de Alcalá,Presencial,Facultad de Ciencias,Grado en Biología,No,"10,93"
Castilla y León,Burgos,Pública,Universidad de Burgos,Presencial,Escuela Politécnica Superior,Doble Grado en Ingeniería Electrónica Industrial y Automática / Grado en Ingeniería Mecánica,No,"10,92"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Escuela Politécnica Superior,Doble Grado en Ingeniería Eléctrica / Grado en Ingeniería Mecánica,No,"10,92"
Comunidad de Madrid,Madrid,Pública,Universidad Complutense de Madrid,Presencial,Facultad de Informática,Grado en Ingeniería Informática,No,"10,91"
Asturias,Asturias,Pública,Universidad de Oviedo,Presencial,Facultad de Derecho,Doble Grado en Administración y Dirección de Empresas / Grado en Derecho,No,"10,91"
Comunidad de Madrid,Madrid,Pública,Universidad Autónoma de Madrid,Presencial,Facultad de Formación de Profesorado y Educación,Doble Grado en Maestro de Educación Infantil / Grado en Maestro de Educación Primaria,No,"10,91"
Canarias,Santa Cruz,Pública,Universidad de La Laguna,Presencial,Facultad de Ciencias de la Salud,Grado en Fisioterapia,No,"10,9"
Comunidad de Madrid,Madrid,Pública,Universidad Politécnica de Madrid,Presencial,"Escuela Técnica Superior de Ingenieros de Caminos, Canales y Puertos",Doble Grado en Ingeniería Civil y Territorial / Grado en Administración y Dirección de Empresas,No,"10,9"
Comunidad de Madrid,Madrid,Pública,Universidad de Alcalá,Presencial,Facultad de Medicina y Ciencias de la Salud,Grado en Ciencias de la Actividad Física y del Deporte,No,"10,89"
Comunidad de Madrid,Madrid,Pública,Universidad Carlos III de Madrid,Presencial,Escuela Politécnica Superior,Grado en Ingeniería Eléctrica/Bachelor´s degree in Electrical Power Engineering,Sí,"10,89"
Comunidad de Madrid,Madrid,Pública,Universidad de Alcalá,Presencial,Escuela Politécnica Superior,Grado en Ingeniería Informática,No,"10,89"
Andalucía,Málaga,Pública,Universidad de Málaga,Presencial,Facultad de Filosofía y Letras,Grado en Estudios Transculturales Europeos: Lenguas. Culturas e Interacciones,Sí,"10,89"
Castilla y León,Segovia,Pública,Universidad de Valladolid,Presencial,Escuela de Ingeniería Informática de Segovia,Doble Grado en Matemáticas/Grado en Ingeniería Informática de Servicios y Aplicaciones,No,"10,88"
Galicia,Ourense,Pública,Universidad de Vigo,Presencial,Escuela Universitaria de Enfermería (Ourense),Grado en Enfermería,No,"10,88"
Comunitat Valenciana,Valencia,Pública,Universitat de València (Estudi General),Presencial,Facultad de Física,Grado en Óptica y Optometría,No,"10,88"
Cataluña,Barcelona,Pública,Universidad Autónoma de Barcelona,Presencial,Facultad de Ciencias Políticas y Sociología,Doble Grado en Ciencias Políticas y Gestión Pública / Grado en Derecho,No,"10,87"
Cataluña,Barcelona,Pública,Universidad Pompeu Fabra,Presencial,Facultad de Comunicación,Grado en Periodismo,No,"10,87"
Comunidad de Madrid,Madrid,Pública,Universidad Autónoma de Madrid,Presencial,Facultad de Ciencias Económicas y Empresariales,Grado en Gestión Aeronáutica,No,"10,86"
Comunidad de Madrid,Madrid,Pública,Universidad Autónoma de Madrid,Presencial,Escuela Politécnica Superior,Grado en Ingeniería Informática,Sí,"10,86"
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Escuela Técnica Superior de Ingeniería Informática. Campus de Móstoles,Grado en Ingeniería de la Ciberseguridad,No,"10,85"
Extremadura,Cáceres,Pública,Universidad de Extremadura,Presencial,Facultad de Ciencias del Deporte,Grado en Ciencias de la Actividad Física y del Deporte,No,"10,85"
Comunitat Valenciana,Alicante,Pública,Universidad Miguel Hernández de Elche,Presencial,Facultad de Ciencias Sociosanitarias,Grado en Psicología,No,"10,85"
Comunitat Valenciana,Valencia,Pública,Universidad Politécnica de Valencia,Presencial,Escuela Técnica Superior de Ingeniería Agronómica y del Medio Natural,Doble Grado en Ingeniería Agroalimentaria y del Medio Rural / Grado en Ciencia y Tecnología de Alimentos,No,"10,85"
Comunitat Valenciana,Valencia,Pública,Universitat de València (Estudi General),Presencial,Facultad de Psicología y Logopedia,Grado en Psicología,Sí,"10,85"
Cataluña,Tarragona,Pública,Universidad Rovira i Virgili,Presencial,Facultad de Química,Grado en Bioquímica y Biología Molecular,No,"10,85"
Galicia,Pontevedra,Pública,Universidad de Vigo,Presencial,Escuela de Ingeniería Industrial,Grado en Ingeniería de la Automoción,No,"10,84"
Comunidad de Madrid,Madrid,Pública,Universidad Carlos III de Madrid,Presencial,Escuela Politécnica Superior,Grado en Ingeniería Electrónica Industrial y Automática/Bachelor´s degree in Industrial Electronics and Automation Engineering,Sí,"10,84"
Comunidad de Madrid,Madrid,Pública,Universidad Complutense de Madrid,Presencial,Facultad de Ciencias de la Información,Grado en Publicidad y Relaciones Públicas,No,"10,83"
Extremadura,Badajoz,Pública,Universidad de Extremadura,Presencial,Facultad de Medicina y Ciencias de la Salud,Grado en Fisioterapia,No,"10,83"
Comunidad de Madrid,Madrid,Pública,Universidad Politécnica de Madrid,Presencial,Escuela Técnica Superior de Ingeniería y Diseño Industrial,Grado en Ingeniería Electrónica Industrial y Automática,No,"10,83"
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Facultad de Artes y Humanidades. Campus de Aranjuez,Grado en Diseño Integral y Gestión de la Imagen,No,"10,83"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Facultad de Biología,Grado en Biología,No,"10,82"
Comunidad de Madrid,Madrid,Pública,Universidad de Alcalá,Presencial,"Facultad de Ciencias Económicas, Empresariales y Turismo",Grado en Economía y Negocios Internacionales,Sí,"10,81"
Galicia,Pontevedra,Pública,Universidad de Vigo,Presencial,Escuela Universitaria de Enfermería (Pontevedra),Grado en Enfermería,No,"10,81"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Facultad de Derecho,Grado en Criminología,No,"10,81"
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Facultad de Ciencias Jurídicas y Políticas. Campus de Alcorcón,Grado en Criminología,No,"10,8"
Cataluña,Lleida,Pública,Universidad de Lleida,Presencial,Facultad de Enfermería y Fisioterapia,Grado en Enfermería,No,"10,79"
Comunitat Valenciana,Castellón,Pública,Universidad Jaume I de Castellón,Presencial,Facultad de Ciencias Humanas y Sociales,Grado en Ciencias de la Actividad Física y del Deporte,No,"10,79"
Andalucía,Málaga,Pública,Universidad de Málaga,Presencial,Facultad de Derecho,Doble Grado en Derecho / Grado en Criminología,No,"10,79"
Extremadura,Badajoz,Pública,Universidad de Extremadura,Presencial,Facultad de Ciencias,Grado en Biotecnología,No,"10,78"
Andalucía,Sevilla,Pública,Universidad Pablo de Olavide,Presencial,Facultad de Ciencias Empresariales,Doble Grado en Administración y Dirección de Empresas / Grado en Derecho,No,"10,78"
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Facultad de Psicología,Grado en Psicología,No,"10,77"
Navarra,Navarra,Pública,Universidad Pública de Navarra,Presencial,Facultad de Ciencias de la Salud,Grado en Ciencias de la Actividad Física y del Deporte,No,"10,77"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Facultad de Química,Doble Grado en Química / Grado en Ingeniería de Materiales,No,"10,77"
País Vasco,Álava,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,Facultad de Farmacia,Grado en Farmacia,No,"10,77"
Comunidad de Madrid,Madrid,Pública,Universidad Carlos III de Madrid,Presencial,Escuela Politécnica Superior,Grado en Ingeniería en Tecnologías de Telecomunicación/Bachelor´s degree in Telecommunication Technologies Engineering,Sí,"10,76"
Andalucía,Cádiz,Pública,Universidad de Cádiz,Presencial,Facultad de Derecho,Doble Grado en Derecho / Grado en Criminología y Seguridad,No,"10,76"
Castilla-La Mancha,Guadalajara,Pública,Universidad de Alcalá,Presencial,Facultad de Educación,Doble Grado en Magisterio de Educación Infantil / Grado en Magisterio de Educación Primaria,No,"10,75"
Comunitat Valenciana,Valencia,Pública,Universidad Politécnica de Valencia,Presencial,Escuela Técnica Superior de Ingeniería Agronómica y del Medio Natural,Doble Grado en Administración y Dirección de Empresas / Grado en Ciencia y Tecnología de Alimentos,No,"10,75"
Castilla-La Mancha,Albacete,Pública,Universidad de Castilla-La Mancha,Presencial,Facultad de Medicina de Albacete,Grado en Psicología,No,"10,75"
Cataluña,Barcelona,Pública,Universidad Autónoma de Barcelona,Presencial,Facultad de Biociencias,Grado en Biología,No,"10,75"
Cataluña,Barcelona,Pública,Universidad Autónoma de Barcelona,Presencial,Facultad de Biociencias,Grado en Biología Ambiental,No,"10,74"
País Vasco,Álava,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,Escuela de Ingeniería de Vitoria-Gasteiz,Doble Grado en Ingeniería Mecánica / Grado en Ingeniería Electrónica Industrial y Automática (Vitoria),No,"10,74"
Comunidad de Madrid,Madrid,Pública,Universidad Autónoma de Madrid,Presencial,Facultad de Psicología,Grado en Psicología,No,"10,74"
Región de Murcia,Murcia,Pública,Universidad de Murcia,Presencial,Facultad de Química,Grado en Bioquímica,No,"10,74"
Castilla y León,León,Pública,Universidad de León,Presencial,Facultad de Ciencias de la Salud. Extensión Ponferrada,Grado en Fisioterapia,No,"10,73"
Comunidad de Madrid,Madrid,Pública,Universidad de Alcalá,Presencial,Escuela de Arquitectura,Grado en Fundamentos de Arquitectura y Urbanismo,No,"10,73"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Centro Universitario de Osuna,Grado en Fisioterapia,No,"10,72"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Facultad de Farmacia,Grado en Óptica y Optometría,No,"10,72"
Comunitat Valenciana,Alicante,Pública,Universidad de Alicante,Presencial,Facultad de Ciencias,Grado en Biología,Sí,"10,72"
