CCAA,Provincia,Tipo,Universidad,Modalidad,Centro,Título,Idioma extranjero,Nota
Asturias,Asturias,Pública,Universidad de Oviedo,Presencial,Facultad de Ciencias,Doble Grado en Matemáticas / Grado en Física. Opción B,No,"13,38"
Comunitat Valenciana,Valencia,Pública,Universidad Politécnica de Valencia,Presencial,Escuela Técnica Superior de Ingeniería Industrial,Doble Grado en Ciencia de Datos / Grado en Ingeniería de Organización Industrial,No,"13,37"
Comunidad de Madrid,Madrid,Pública,Universidad Carlos III de Madrid,Presencial,Facultad de Ciencias Sociales y Jurídicas,Doble Grado en Estudios Internacionales / Grado en Administración de Empresas,Sí,"13,36"
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Facultad de Ciencias,Doble Grado en Física / Grado en Matemáticas,No,"13,36"
Andalucía,Córdoba,Pública,Universidad de Córdoba,Presencial,Facultad de Medicina y Enfermería,Grado en Medicina,No,"13,35"
Andalucía,Málaga,Pública,Universidad de Málaga,Presencial,Facultad de Medicina,Grado en Medicina,No,"13,35"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Facultad de Ciencias de la Educación,Doble Grado en Fisioterapia / Grado en Ciencias de la Actividad Física y del Deporte,No,"13,35"
Castilla y León,Valladolid,Pública,Universidad de Valladolid,Presencial,Facultad de Ciencias,Doble Grado en Matemáticas / Grado en Física,No,"13,34"
Asturias,Asturias,Pública,Universidad de Oviedo,Semi/No Presencial,Escuela Politécnica de Ingeniería de Gijón,Doble Grado en Ciencia e Ingeniería de Datos / Grado en Ingeniería Informática en Tecnologías de la Información,No,"13,33"
Comunitat Valenciana,Valencia,Pública,Universidad Politécnica de Valencia,Presencial,Escuela Técnica Superior de Ingeniería Aeroespacial y Diseño Industrial,Grado en Ingeniería Aeroespacial,Sí,"13,33"
Andalucía,Granada,Pública,Universidad de Granada,Presencial,Facultad de Ciencias,Doble Grado en Informática / Grado en Matemáticas,No,"13,33"
Comunidad de Madrid,Madrid,Pública,Universidad Carlos III de Madrid,Presencial,Escuela Politécnica Superior,Grado en Ingeniería Aeroespacial,Sí,"13,3"
Comunitat Valenciana,Valencia,Pública,Universidad Politécnica de Valencia,Presencial,Escuela Técnica Superior de Ingeniería de Telecomunicación,Doble Grado en Administración y Dirección de Empresas / Grado en Matemáticas,No,"13,3"
Andalucía,Cádiz,Pública,Universidad de Cádiz,Presencial,Facultad de Medicina,Grado en Medicina,No,"13,29"
Comunitat Valenciana,Valencia,Pública,Universitat de València (Estudi General),Presencial,Facultad de Medicina y Odontología,Grado en Medicina,Sí,"13,29"
Comunidad de Madrid,Madrid,Pública,Universidad Carlos III de Madrid,Presencial,Escuela Politécnica Superior,Doble Grado en Ingeniería Física / Grado en Ingeniería en Tecnologías Industriales,Sí,"13,29"
Comunitat Valenciana,Alicante,Pública,Universidad de Alicante,Presencial,Facultad de Ciencias de la Salud,Grado en Medicina,No,"13,28"
Andalucía,Almería,Pública,Universidad de Almería,Presencial,Facultad de Ciencias de la Salud,Grado en Medicina,No,"13,28"
Galicia,A Coruña,Pública,Universidad de Santiago de Compostela,Presencial,Facultad de Matemáticas,Doble Grado en Matemáticas / Grado en Física,No,"13,28"
Andalucía,Jaén,Pública,Universidad de Jaén,Presencial,Facultad de Ciencias de la Salud,Grado en Medicina,No,"13,27"
Comunidad de Madrid,Madrid,Pública,Universidad Complutense de Madrid,Presencial,Facultad de Medicina,Grado en Medicina,No,"13,27"
Comunitat Valenciana,Alicante,Pública,Universidad Miguel Hernández de Elche,Presencial,Facultad de Medicina,Grado en Medicina,No,"13,26"
Canarias,Las Palmas,Pública,Universidad de Las Palmas de Gran Canaria,Presencial,Facultad de Traducción e Interpretación,Doble Grado en Traducción e Interpretación Inglés-Francés / Grado en Traducción e Interpretación Inglés-Alemán,No,"13,25"
Andalucía,Huelva,Pública,Universidad de Huelva,Presencial,Facultad de Enfermería,Grado en Medicina,No,"13,24"
Comunidad de Madrid,Madrid,Pública,Universidad Autónoma de Madrid,Presencial,Escuela Politécnica Superior,Doble Grado en Ingeniería Informática / Grado en Matemáticas,No,"13,24"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Facultad de Odontología,Grado en Odontología,No,"13,23"
Región de Murcia,Murcia,Pública,Universidad de Murcia,Presencial,Facultad de Medicina,Grado en Medicina,No,"13,23"
